positive  	UNI_food:1 UNI_excellent:1 UNI_every:1 UNI_chance:1 UNI_get:3 UNI_eat:1 UNI_early:1 UNI_always:1 UNI_crowded:1 BIGRAM_food_excellent:1 BIGRAM_excellent_every:1 BIGRAM_every_chance:1 BIGRAM_chance_get:1 BIGRAM_get_eat:1 BIGRAM_eat_get:1 BIGRAM_get_early:1 BIGRAM_early_always:1 BIGRAM_always_crowded:1 
positive  	UNI_terrific:1 UNI_restaurant:1 UNI_food:1 UNI_plentiful:1 UNI_outstanding:1 UNI_manager:1 UNI_came:1 UNI_introduced:1 UNI_two:1 UNI_occasions:1 UNI_visited:1 UNI_bar:1 UNI_piece:1 UNI_metal:1 UNI_indented:1 UNI_frozen:1 UNI_ice:1 UNI_keep:1 UNI_drinks:1 UNI_cold:1 UNI_friendly:1 UNI_totally:1 UNI_personal:1 UNI_staff:1 UNI_try:1 UNI_bailey:3 UNI_'s:3 UNI_crepes:1 UNI_cheesecake:1 UNI_awesome:1 BIGRAM_terrific_restaurant:1 BIGRAM_restaurant_food:1 BIGRAM_food_plentiful:1 BIGRAM_plentiful_outstanding:1 BIGRAM_outstanding_manager:1 BIGRAM_manager_came:1 BIGRAM_came_introduced:1 BIGRAM_introduced_two:1 BIGRAM_two_occasions:1 BIGRAM_occasions_visited:1 BIGRAM_visited_bar:1 BIGRAM_bar_piece:1 BIGRAM_piece_metal:1 BIGRAM_metal_indented:1 BIGRAM_indented_frozen:1 BIGRAM_frozen_ice:1 BIGRAM_ice_keep:1 BIGRAM_keep_drinks:1 BIGRAM_drinks_cold:1 BIGRAM_cold_friendly:1 BIGRAM_friendly_totally:1 BIGRAM_totally_personal:1 BIGRAM_personal_staff:1 BIGRAM_staff_try:1 BIGRAM_try_bailey:1 BIGRAM_bailey_'s:3 BIGRAM_'s_crepes:1 BIGRAM_crepes_bailey:1 BIGRAM_'s_cheesecake:1 BIGRAM_cheesecake_awesome:1 
positive  	UNI_wife:1 UNI_ordered:1 UNI_argentinean:1 UNI_strip:1 UNI_tenderloin:1 UNI_steaks:1 UNI_superb:1 UNI_tasty:1 UNI_tender:1 UNI_house:1 UNI_margarita:1 UNI_great:1 UNI_complimentary:1 UNI_tortilla:1 UNI_chips:1 UNI_salsa:3 UNI_served:3 UNI_beginning:1 UNI_single:1 UNI_skimpy:1 UNI_plate:1 UNI_ask:1 UNI_waiter:3 UNI_bring:1 UNI_one:1 UNI_every:1 UNI_person:1 UNI_party:1 UNI_n't:1 UNI_reach:1 UNI_across:1 UNI_table:1 UNI_drip:1 UNI_hand:1 UNI_parking:1 UNI_ticket:1 UNI_asking:1 UNI_check:1 UNI_fee:1 UNI_deducted:1 UNI_bill:1 BIGRAM_wife_ordered:1 BIGRAM_ordered_argentinean:1 BIGRAM_argentinean_strip:1 BIGRAM_strip_tenderloin:1 BIGRAM_tenderloin_steaks:1 BIGRAM_steaks_superb:1 BIGRAM_superb_tasty:1 BIGRAM_tasty_tender:1 BIGRAM_tender_house:1 BIGRAM_house_margarita:1 BIGRAM_margarita_great:1 BIGRAM_great_complimentary:1 BIGRAM_complimentary_tortilla:1 BIGRAM_tortilla_chips:1 BIGRAM_chips_salsa:1 BIGRAM_salsa_served:3 BIGRAM_served_beginning:1 BIGRAM_beginning_salsa:1 BIGRAM_served_single:1 BIGRAM_single_skimpy:1 BIGRAM_skimpy_plate:1 BIGRAM_plate_ask:1 BIGRAM_ask_waiter:1 BIGRAM_waiter_bring:1 BIGRAM_bring_one:1 BIGRAM_one_every:1 BIGRAM_every_person:1 BIGRAM_person_party:1 BIGRAM_party_n't:1 BIGRAM_n't_reach:1 BIGRAM_reach_across:1 BIGRAM_across_table:1 BIGRAM_table_drip:1 BIGRAM_drip_hand:1 BIGRAM_hand_waiter:1 BIGRAM_waiter_parking:1 BIGRAM_parking_ticket:1 BIGRAM_ticket_asking:1 BIGRAM_asking_check:1 BIGRAM_check_fee:1 BIGRAM_fee_deducted:1 BIGRAM_deducted_bill:1 
positive  	UNI_absolute:1 UNI_favorite:1 UNI_restaurant:1 UNI_chicago:1 UNI_area:1 UNI_despite:1 UNI_located:1 UNI_within:1 UNI_casino:3 UNI_easy:1 UNI_place:3 UNI_get:3 UNI_provides:1 UNI_valet:3 UNI_parking:1 UNI_handicapped:1 UNI_well:3 UNI_hostess:1 UNI_almost:1 UNI_always:3 UNI_girl:1 UNI_last:1 UNI_5:1 UNI_years+:1 UNI_accomidating:1 UNI_gracious:1 UNI_dining:3 UNI_room:1 UNI_immaculate:1 UNI_luxoriously:1 UNI_appointed:1 UNI_white:1 UNI_tablecloth:1 UNI_way:1 UNI_service:1 UNI_fantastic:1 UNI_servers:1 UNI_demonstrate:1 UNI_immense:1 UNI_respect:1 UNI_customers:1 UNI_try:1 UNI_speak:1 UNI_name:1 UNI_i.e:1 UNI_mr:1 UNI_n:1 UNI_party:1 UNI_prepared:1 UNI_order:1 UNI_menu:1 UNI_devised:1 UNI_ranges:1 UNI_pasta:1 UNI_steak:1 UNI_seafood:1 UNI_dishes:1 UNI_quality:1 UNI_food:1 UNI_top:1 UNI_notch:1 UNI_details:1 UNI_paid:1 UNI_attention:1 UNI_start:1 UNI_finish:1 UNI_costs:1 UNI_run:1 UNI_40-50:1 UNI_per:1 UNI_person:1 UNI_range:1 UNI_including:1 UNI_drinks:1 UNI_gamble:1 UNI_often:1 UNI_meal:1 UNI_free:1 UNI_enjoy:1 UNI_month:1 UNI_great:1 BIGRAM_absolute_favorite:1 BIGRAM_favorite_restaurant:1 BIGRAM_restaurant_chicago:1 BIGRAM_chicago_area:1 BIGRAM_area_despite:1 BIGRAM_despite_located:1 BIGRAM_located_within:1 BIGRAM_within_casino:1 BIGRAM_casino_easy:1 BIGRAM_easy_place:1 BIGRAM_place_get:1 BIGRAM_get_casino:1 BIGRAM_casino_provides:1 BIGRAM_provides_valet:1 BIGRAM_valet_parking:1 BIGRAM_parking_handicapped:1 BIGRAM_handicapped_valet:1 BIGRAM_valet_well:1 BIGRAM_well_hostess:1 BIGRAM_hostess_almost:1 BIGRAM_almost_always:1 BIGRAM_always_girl:1 BIGRAM_girl_last:1 BIGRAM_last_5:1 BIGRAM_5_years+:1 BIGRAM_years+_always:1 BIGRAM_always_accomidating:1 BIGRAM_accomidating_gracious:1 BIGRAM_gracious_dining:1 BIGRAM_dining_room:1 BIGRAM_room_immaculate:1 BIGRAM_immaculate_luxoriously:1 BIGRAM_luxoriously_appointed:1 BIGRAM_appointed_white:1 BIGRAM_white_tablecloth:1 BIGRAM_tablecloth_way:1 BIGRAM_way_service:1 BIGRAM_service_fantastic:1 BIGRAM_fantastic_servers:1 BIGRAM_servers_demonstrate:1 BIGRAM_demonstrate_immense:1 BIGRAM_immense_respect:1 BIGRAM_respect_customers:1 BIGRAM_customers_try:1 BIGRAM_try_speak:1 BIGRAM_speak_name:1 BIGRAM_name_i.e:1 BIGRAM_i.e_mr:1 BIGRAM_mr_n:1 BIGRAM_n_party:1 BIGRAM_party_prepared:1 BIGRAM_prepared_order:1 BIGRAM_order_menu:1 BIGRAM_menu_well:1 BIGRAM_well_devised:1 BIGRAM_devised_ranges:1 BIGRAM_ranges_pasta:1 BIGRAM_pasta_steak:1 BIGRAM_steak_seafood:1 BIGRAM_seafood_dishes:1 BIGRAM_dishes_quality:1 BIGRAM_quality_food:1 BIGRAM_food_top:1 BIGRAM_top_notch:1 BIGRAM_notch_details:1 BIGRAM_details_paid:1 BIGRAM_paid_attention:1 BIGRAM_attention_start:1 BIGRAM_start_finish:1 BIGRAM_finish_costs:1 BIGRAM_costs_run:1 BIGRAM_run_40-50:1 BIGRAM_40-50_per:1 BIGRAM_per_person:1 BIGRAM_person_range:1 BIGRAM_range_including:1 BIGRAM_including_drinks:1 BIGRAM_drinks_gamble:1 BIGRAM_gamble_casino:1 BIGRAM_casino_often:1 BIGRAM_often_get:1 BIGRAM_get_meal:1 BIGRAM_meal_free:1 BIGRAM_free_always:1 BIGRAM_always_enjoy:1 BIGRAM_enjoy_dining:1 BIGRAM_dining_month:1 BIGRAM_month_great:1 BIGRAM_great_place:1 
positive  	UNI_fabulous:1 UNI_meal:1 UNI_top:1 UNI_notch:1 UNI_food:3 UNI_.and:1 UNI_staff:1 UNI_like:1 UNI_nanny:1 UNI_3:1 UNI_year:1 UNI_old:1 UNI_..had:1 UNI_maui:1 UNI_onion:1 UNI_crusted:1 UNI_ahi:1 UNI_could:3 UNI_best:3 UNI_thing:3 UNI_'ve:3 UNI_ever:1 UNI_..my:1 UNI_wife:1 UNI_pork:1 UNI_chop:1 UNI_2nd:1 UNI_.no:1 UNI_view:1 UNI_ocean:1 UNI_good:1 UNI_eating:1 UNI_dark:1 UNI_cares:1 BIGRAM_fabulous_meal:1 BIGRAM_meal_top:1 BIGRAM_top_notch:1 BIGRAM_notch_food:1 BIGRAM_food_.and:1 BIGRAM_.and_staff:1 BIGRAM_staff_like:1 BIGRAM_like_nanny:1 BIGRAM_nanny_3:1 BIGRAM_3_year:1 BIGRAM_year_old:1 BIGRAM_old_..had:1 BIGRAM_..had_maui:1 BIGRAM_maui_onion:1 BIGRAM_onion_crusted:1 BIGRAM_crusted_ahi:1 BIGRAM_ahi_could:1 BIGRAM_could_best:1 BIGRAM_best_thing:3 BIGRAM_thing_'ve:3 BIGRAM_'ve_ever:1 BIGRAM_ever_..my:1 BIGRAM_..my_wife:1 BIGRAM_wife_pork:1 BIGRAM_pork_chop:1 BIGRAM_chop_could:1 BIGRAM_could_2nd:1 BIGRAM_2nd_best:1 BIGRAM_'ve_.no:1 BIGRAM_.no_view:1 BIGRAM_view_ocean:1 BIGRAM_ocean_food:1 BIGRAM_food_good:1 BIGRAM_good_eating:1 BIGRAM_eating_dark:1 BIGRAM_dark_cares:1 
positive  	UNI_moment:1 UNI_seated:1 UNI_given:1 UNI_menus:1 UNI_knew:1 UNI_would:3 UNI_typical:1 UNI_evening:3 UNI_choices:1 UNI_varied:1 UNI_extremely:1 UNI_tempting:1 UNI_alex:1 UNI_waiter:1 UNI_told:1 UNI_us:3 UNI_specials:1 UNI_cuisine:1 UNI_international:1 UNI_leans:1 UNI_toward:1 UNI_swiss:1 UNI_french:1 UNI_german:1 UNI_bit:1 UNI_asian:1 UNI_thrown:1 UNI_fish:1 UNI_selection:1 UNI_superb:1 UNI_preparation:1 UNI_'blurb:1 UNI_salivating:1 UNI_whole:1 UNI_special:1 UNI_went:1 UNI_back:3 UNI_next:1 UNI_night:1 UNI_gone:1 UNI_third:1 UNI_closed:1 UNI_sunday:1 UNI_sauces:1 UNI_savory:1 UNI_light:1 UNI_exactly:1 UNI_compliment:1 UNI_dishes:1 UNI_hot:3 UNI_foods:3 UNI_cold:3 UNI_cream:1 UNI_broccoli:1 UNI_soup:1 UNI_cheese:1 UNI_'heaven:1 UNI_reservations:1 UNI_suggested:1 UNI_season:1 UNI_totally:1 UNI_necessary:1 UNI_say:1 UNI_enough:1 UNI_praise:1 UNI_kitchen:1 UNI_staff:1 BIGRAM_moment_seated:1 BIGRAM_seated_given:1 BIGRAM_given_menus:1 BIGRAM_menus_knew:1 BIGRAM_knew_would:1 BIGRAM_would_typical:1 BIGRAM_typical_evening:1 BIGRAM_evening_choices:1 BIGRAM_choices_varied:1 BIGRAM_varied_extremely:1 BIGRAM_extremely_tempting:1 BIGRAM_tempting_alex:1 BIGRAM_alex_waiter:1 BIGRAM_waiter_told:1 BIGRAM_told_us:1 BIGRAM_us_specials:1 BIGRAM_specials_cuisine:1 BIGRAM_cuisine_international:1 BIGRAM_international_leans:1 BIGRAM_leans_toward:1 BIGRAM_toward_swiss:1 BIGRAM_swiss_french:1 BIGRAM_french_german:1 BIGRAM_german_bit:1 BIGRAM_bit_asian:1 BIGRAM_asian_thrown:1 BIGRAM_thrown_fish:1 BIGRAM_fish_selection:1 BIGRAM_selection_superb:1 BIGRAM_superb_preparation:1 BIGRAM_preparation_'blurb:1 BIGRAM_'blurb_us:1 BIGRAM_us_salivating:1 BIGRAM_salivating_whole:1 BIGRAM_whole_evening:1 BIGRAM_evening_special:1 BIGRAM_special_went:1 BIGRAM_went_back:1 BIGRAM_back_next:1 BIGRAM_next_night:1 BIGRAM_night_would:1 BIGRAM_would_gone:1 BIGRAM_gone_back:1 BIGRAM_back_third:1 BIGRAM_third_evening:1 BIGRAM_evening_closed:1 BIGRAM_closed_sunday:1 BIGRAM_sunday_sauces:1 BIGRAM_sauces_savory:1 BIGRAM_savory_light:1 BIGRAM_light_exactly:1 BIGRAM_exactly_compliment:1 BIGRAM_compliment_dishes:1 BIGRAM_dishes_hot:1 BIGRAM_hot_foods:1 BIGRAM_foods_hot:1 BIGRAM_hot_cold:1 BIGRAM_cold_foods:1 BIGRAM_foods_cold:1 BIGRAM_cold_cream:1 BIGRAM_cream_broccoli:1 BIGRAM_broccoli_soup:1 BIGRAM_soup_cheese:1 BIGRAM_cheese_'heaven:1 BIGRAM_'heaven_reservations:1 BIGRAM_reservations_suggested:1 BIGRAM_suggested_season:1 BIGRAM_season_totally:1 BIGRAM_totally_necessary:1 BIGRAM_necessary_say:1 BIGRAM_say_enough:1 BIGRAM_enough_praise:1 BIGRAM_praise_kitchen:1 BIGRAM_kitchen_staff:1 
positive  	UNI_modern:1 UNI_new:3 UNI_restaurant:3 UNI_row:3 UNI_place:1 UNI_italian:1 UNI_food:1 UNI_world:1 UNI_service:1 UNI_great:1 UNI_ambiance:1 UNI_perfect:1 UNI_true:1 UNI_hot:1 UNI_spot:1 UNI_go:1 UNI_broadway:1 UNI_show:1 UNI_trully:1 UNI_recomend:1 UNI_gem:1 BIGRAM_modern_new:1 BIGRAM_new_restaurant:1 BIGRAM_restaurant_restaurant:1 BIGRAM_restaurant_row:3 BIGRAM_row_place:1 BIGRAM_place_italian:1 BIGRAM_italian_food:1 BIGRAM_food_world:1 BIGRAM_world_service:1 BIGRAM_service_great:1 BIGRAM_great_ambiance:1 BIGRAM_ambiance_restaurant:1 BIGRAM_restaurant_perfect:1 BIGRAM_perfect_true:1 BIGRAM_true_hot:1 BIGRAM_hot_spot:1 BIGRAM_spot_go:1 BIGRAM_go_broadway:1 BIGRAM_broadway_show:1 BIGRAM_show_trully:1 BIGRAM_trully_recomend:1 BIGRAM_recomend_new:1 BIGRAM_new_gem:1 BIGRAM_gem_restaurant:1 
positive  	UNI_go:3 UNI_pretty:3 UNI_often:1 UNI_since:1 UNI_close:1 UNI_plus:3 UNI_love:1 UNI_sushi:3 UNI_chef:1 UNI_eddie:3 UNI_secretly:1 UNI_call:1 UNI_lover:1 UNI_lol:3 UNI_tastes:1 UNI_really:3 UNI_good:3 UNI_taste:1 UNI_service:1 UNI_consistent:1 UNI_usually:1 UNI_order:1 UNI_seaweed:1 UNI_salad:1 UNI_unagi:1 UNI_roll:1 UNI_baked:1 UNI_green:3 UNI_mussel:1 UNI_hot:1 UNI_tea:3 UNI_iced:1 UNI_time:3 UNI_finished:1 UNI_meal:3 UNI_cool:1 UNI_enough:1 UNI_sip:1 UNI_fiance:1 UNI_marc:1 UNI_big:1 UNI_eater:1 UNI_gets:1 UNI_two:1 UNI_spider:1 UNI_rolls:1 UNI_coke:1 UNI_every:1 UNI_palate:1 UNI_adventurous:1 UNI_prices:1 UNI_staff:1 UNI_friendly:1 UNI_found:1 UNI_bars:1 UNI_bar:3 UNI_quite:1 UNI_large:1 UNI_btw:1 UNI_average:1 UNI_us:1 UNI_40:1 UNI_pig:1 UNI_split:1 UNI_bottle:1 UNI_cold:1 UNI_ginger-flavored:1 UNI_sake:1 UNI_15.00:1 UNI_took:1 UNI_surprise:1 UNI_strong:1 UNI_exclaimed:1 UNI_ca:1 UNI_n't:1 UNI_feel:1 UNI_face:1 UNI_told:1 UNI_trying:1 UNI_get:1 UNI_drunk:1 UNI_ever:1 UNI_sit:1 UNI_ask:1 UNI_take:1 UNI_care:1 UNI_keep:1 UNI_laughing:1 BIGRAM_go_pretty:1 BIGRAM_pretty_often:1 BIGRAM_often_since:1 BIGRAM_since_pretty:1 BIGRAM_pretty_close:1 BIGRAM_close_plus:1 BIGRAM_plus_love:1 BIGRAM_love_sushi:1 BIGRAM_sushi_chef:1 BIGRAM_chef_eddie:1 BIGRAM_eddie_secretly:1 BIGRAM_secretly_call:1 BIGRAM_call_eddie:1 BIGRAM_eddie_lover:1 BIGRAM_lover_lol:1 BIGRAM_lol_sushi:1 BIGRAM_sushi_tastes:1 BIGRAM_tastes_really:1 BIGRAM_really_good:3 BIGRAM_good_taste:1 BIGRAM_taste_service:1 BIGRAM_service_consistent:1 BIGRAM_consistent_usually:1 BIGRAM_usually_order:1 BIGRAM_order_seaweed:1 BIGRAM_seaweed_salad:1 BIGRAM_salad_unagi:1 BIGRAM_unagi_roll:1 BIGRAM_roll_baked:1 BIGRAM_baked_green:1 BIGRAM_green_mussel:1 BIGRAM_mussel_hot:1 BIGRAM_hot_green:1 BIGRAM_green_tea:3 BIGRAM_tea_plus:1 BIGRAM_plus_iced:1 BIGRAM_iced_tea:1 BIGRAM_tea_time:1 BIGRAM_time_finished:1 BIGRAM_finished_meal:1 BIGRAM_meal_green:1 BIGRAM_tea_cool:1 BIGRAM_cool_enough:1 BIGRAM_enough_sip:1 BIGRAM_sip_fiance:1 BIGRAM_fiance_marc:1 BIGRAM_marc_big:1 BIGRAM_big_sushi:1 BIGRAM_sushi_eater:1 BIGRAM_eater_gets:1 BIGRAM_gets_two:1 BIGRAM_two_spider:1 BIGRAM_spider_rolls:1 BIGRAM_rolls_coke:1 BIGRAM_coke_every:1 BIGRAM_every_time:1 BIGRAM_time_palate:1 BIGRAM_palate_adventurous:1 BIGRAM_adventurous_prices:1 BIGRAM_prices_good:1 BIGRAM_good_staff:1 BIGRAM_staff_friendly:1 BIGRAM_friendly_found:1 BIGRAM_found_sushi:1 BIGRAM_sushi_bars:1 BIGRAM_bars_sushi:1 BIGRAM_sushi_bar:1 BIGRAM_bar_quite:1 BIGRAM_quite_large:1 BIGRAM_large_btw:1 BIGRAM_btw_average:1 BIGRAM_average_meal:1 BIGRAM_meal_us:1 BIGRAM_us_40:1 BIGRAM_40_pig:1 BIGRAM_pig_split:1 BIGRAM_split_bottle:1 BIGRAM_bottle_cold:1 BIGRAM_cold_ginger-flavored:1 BIGRAM_ginger-flavored_sake:1 BIGRAM_sake_15.00:1 BIGRAM_15.00_eddie:1 BIGRAM_eddie_took:1 BIGRAM_took_surprise:1 BIGRAM_surprise_strong:1 BIGRAM_strong_exclaimed:1 BIGRAM_exclaimed_ca:1 BIGRAM_ca_n't:1 BIGRAM_n't_feel:1 BIGRAM_feel_face:1 BIGRAM_face_told:1 BIGRAM_told_trying:1 BIGRAM_trying_get:1 BIGRAM_get_drunk:1 BIGRAM_drunk_lol:1 BIGRAM_lol_ever:1 BIGRAM_ever_go:1 BIGRAM_go_sit:1 BIGRAM_sit_bar:1 BIGRAM_bar_ask:1 BIGRAM_ask_eddie:1 BIGRAM_eddie_take:1 BIGRAM_take_really:1 BIGRAM_good_care:1 BIGRAM_care_keep:1 BIGRAM_keep_laughing:1 
positive  	UNI_excellent:1 UNI_food:1 UNI_service:1 UNI_chef:1 UNI_kevin:1 UNI_outstanding:1 UNI_job:1 UNI_preparing:1 UNI_variety:1 UNI_different:1 UNI_entrees:1 BIGRAM_excellent_food:1 BIGRAM_food_service:1 BIGRAM_service_chef:1 BIGRAM_chef_kevin:1 BIGRAM_kevin_outstanding:1 BIGRAM_outstanding_job:1 BIGRAM_job_preparing:1 BIGRAM_preparing_variety:1 BIGRAM_variety_different:1 BIGRAM_different_entrees:1 
positive  	UNI_restaurant:1 UNI_great:3 UNI_atmosphere:1 UNI_lot:1 UNI_fun:1 UNI_open:1 UNI_oven:1 UNI_grill:1 UNI_chicken:1 UNI_specialties:1 UNI_requiring:1 UNI_flame:1 UNI_broil:1 UNI_cornbread:1 UNI_best:1 UNI_ever:1 UNI_cooked:1 UNI_served:1 UNI_skillet:1 UNI_magnificent:1 UNI_everything:1 UNI_eaten:1 UNI_wonderful:1 UNI_serve:1 UNI_cosmopolitan:1 BIGRAM_restaurant_great:1 BIGRAM_great_atmosphere:1 BIGRAM_atmosphere_lot:1 BIGRAM_lot_fun:1 BIGRAM_fun_open:1 BIGRAM_open_oven:1 BIGRAM_oven_grill:1 BIGRAM_grill_chicken:1 BIGRAM_chicken_specialties:1 BIGRAM_specialties_requiring:1 BIGRAM_requiring_flame:1 BIGRAM_flame_broil:1 BIGRAM_broil_cornbread:1 BIGRAM_cornbread_best:1 BIGRAM_best_ever:1 BIGRAM_ever_cooked:1 BIGRAM_cooked_served:1 BIGRAM_served_skillet:1 BIGRAM_skillet_magnificent:1 BIGRAM_magnificent_everything:1 BIGRAM_everything_eaten:1 BIGRAM_eaten_wonderful:1 BIGRAM_wonderful_serve:1 BIGRAM_serve_great:1 BIGRAM_great_cosmopolitan:1 
positive  	UNI_live:1 UNI_wichita:1 UNI_ks:1 UNI_drive:1 UNI_tulsa:1 UNI_food:1 UNI_shogun:1 UNI_love:1 UNI_entire:1 UNI_staff:1 UNI_always:1 UNI_go:1 UNI_way:1 UNI_make:1 UNI_3:1 UNI_children:1 UNI_feel:1 UNI_special:1 UNI_best:1 UNI_thing:1 UNI_menu:1 UNI_royal:1 UNI_combination:1 UNI_shrimp:1 UNI_appetizer:1 UNI_thanks:1 UNI_fun:1 BIGRAM_live_wichita:1 BIGRAM_wichita_ks:1 BIGRAM_ks_drive:1 BIGRAM_drive_tulsa:1 BIGRAM_tulsa_food:1 BIGRAM_food_shogun:1 BIGRAM_shogun_love:1 BIGRAM_love_entire:1 BIGRAM_entire_staff:1 BIGRAM_staff_always:1 BIGRAM_always_go:1 BIGRAM_go_way:1 BIGRAM_way_make:1 BIGRAM_make_3:1 BIGRAM_3_children:1 BIGRAM_children_feel:1 BIGRAM_feel_special:1 BIGRAM_special_best:1 BIGRAM_best_thing:1 BIGRAM_thing_menu:1 BIGRAM_menu_royal:1 BIGRAM_royal_combination:1 BIGRAM_combination_shrimp:1 BIGRAM_shrimp_appetizer:1 BIGRAM_appetizer_thanks:1 BIGRAM_thanks_fun:1 
positive  	UNI_ate:1 UNI_outside:1 UNI_patio:1 UNI_carribean:1 UNI_feel:1 UNI_white:1 UNI_sand:1 UNI_rustic:1 UNI_brick:1 UNI_walkways:1 UNI_food:1 UNI_delicious:1 UNI_mingo:1 UNI_mango:1 UNI_tango:1 UNI_say:1 UNI_yummy:1 UNI_apitizer:1 UNI_teazer:1 UNI_called:1 UNI_bamboo:1 UNI_stick:1 UNI_think:1 UNI_best:1 UNI_resturant:1 UNI_paducah:1 BIGRAM_ate_outside:1 BIGRAM_outside_patio:1 BIGRAM_patio_carribean:1 BIGRAM_carribean_feel:1 BIGRAM_feel_white:1 BIGRAM_white_sand:1 BIGRAM_sand_rustic:1 BIGRAM_rustic_brick:1 BIGRAM_brick_walkways:1 BIGRAM_walkways_food:1 BIGRAM_food_delicious:1 BIGRAM_delicious_mingo:1 BIGRAM_mingo_mango:1 BIGRAM_mango_tango:1 BIGRAM_tango_say:1 BIGRAM_say_yummy:1 BIGRAM_yummy_apitizer:1 BIGRAM_apitizer_teazer:1 BIGRAM_teazer_called:1 BIGRAM_called_bamboo:1 BIGRAM_bamboo_stick:1 BIGRAM_stick_think:1 BIGRAM_think_best:1 BIGRAM_best_resturant:1 BIGRAM_resturant_paducah:1 
positive  	UNI_casanova:3 UNI_french:1 UNI_restaurant:3 UNI_within:1 UNI_sans:1 UNI_souci:1 UNI_resort:1 UNI_ochio:1 UNI_rios:1 UNI_jamaica:1 UNI_theyoung:1 UNI_chef:3 UNI_john:3 UNI_cadieux:1 UNI_trained:1 UNI_ottawa:1 UNI_canada:1 UNI_master:1 UNI_food:1 UNI_wonderful:1 UNI_presentation:1 UNI_superb:1 UNI_dine:1 UNI_experience:1 UNI_best:1 UNI_would:1 UNI_return:1 UNI_heat:1 UNI_beat:1 UNI_go:1 UNI_ask:1 UNI_'s:1 UNI_choice:1 UNI_come:1 UNI_table:1 UNI_make:1 UNI_suggestions:1 UNI_cook:1 UNI_dinner:1 UNI_remember:1 BIGRAM_casanova_french:1 BIGRAM_french_restaurant:1 BIGRAM_restaurant_within:1 BIGRAM_within_sans:1 BIGRAM_sans_souci:1 BIGRAM_souci_resort:1 BIGRAM_resort_ochio:1 BIGRAM_ochio_rios:1 BIGRAM_rios_jamaica:1 BIGRAM_jamaica_theyoung:1 BIGRAM_theyoung_chef:1 BIGRAM_chef_john:1 BIGRAM_john_cadieux:1 BIGRAM_cadieux_trained:1 BIGRAM_trained_ottawa:1 BIGRAM_ottawa_canada:1 BIGRAM_canada_master:1 BIGRAM_master_food:1 BIGRAM_food_wonderful:1 BIGRAM_wonderful_presentation:1 BIGRAM_presentation_superb:1 BIGRAM_superb_dine:1 BIGRAM_dine_casanova:1 BIGRAM_casanova_experience:1 BIGRAM_experience_best:1 BIGRAM_best_would:1 BIGRAM_would_return:1 BIGRAM_return_restaurant:1 BIGRAM_restaurant_heat:1 BIGRAM_heat_beat:1 BIGRAM_beat_go:1 BIGRAM_go_restaurant:1 BIGRAM_restaurant_ask:1 BIGRAM_ask_chef:1 BIGRAM_chef_'s:1 BIGRAM_'s_choice:1 BIGRAM_choice_john:1 BIGRAM_john_come:1 BIGRAM_come_table:1 BIGRAM_table_make:1 BIGRAM_make_suggestions:1 BIGRAM_suggestions_cook:1 BIGRAM_cook_dinner:1 BIGRAM_dinner_remember:1 
positive  	UNI_carrabba:3 UNI_'s:3 UNI_best:1 UNI_italian:3 UNI_restaurant:1 UNI_'ve:1 UNI_ever:1 UNI_wife:1 UNI_love:1 UNI_food:1 UNI_really:1 UNI_knows:1 UNI_right:1 UNI_highly:1 UNI_recommended:1 UNI_like:1 UNI_chicken:3 UNI_try:1 UNI_trio:1 UNI_sampler:1 UNI_bryon:1 UNI_polo:1 UNI_rosa:1 UNI_maria:1 UNI_marsala:1 UNI_lovely:1 UNI_ps:1 UNI_reason:1 UNI_atmosphere:1 UNI_gets:1 UNI_4:1 UNI_smoking:1 UNI_section:1 UNI_yes:1 UNI_hate:1 UNI_smell:1 UNI_smoke:1 UNI_especially:1 UNI_dining:1 BIGRAM_carrabba_'s:3 BIGRAM_'s_best:1 BIGRAM_best_italian:1 BIGRAM_italian_restaurant:1 BIGRAM_restaurant_'ve:1 BIGRAM_'ve_ever:1 BIGRAM_ever_wife:1 BIGRAM_wife_love:1 BIGRAM_love_italian:1 BIGRAM_italian_food:1 BIGRAM_food_carrabba:1 BIGRAM_'s_really:1 BIGRAM_really_knows:1 BIGRAM_knows_right:1 BIGRAM_right_highly:1 BIGRAM_highly_recommended:1 BIGRAM_recommended_like:1 BIGRAM_like_chicken:1 BIGRAM_chicken_try:1 BIGRAM_try_chicken:1 BIGRAM_chicken_trio:1 BIGRAM_trio_'s:1 BIGRAM_'s_sampler:1 BIGRAM_sampler_chicken:1 BIGRAM_chicken_bryon:1 BIGRAM_bryon_polo:1 BIGRAM_polo_rosa:1 BIGRAM_rosa_maria:1 BIGRAM_maria_chicken:1 BIGRAM_chicken_marsala:1 BIGRAM_marsala_lovely:1 BIGRAM_lovely_ps:1 BIGRAM_ps_reason:1 BIGRAM_reason_atmosphere:1 BIGRAM_atmosphere_gets:1 BIGRAM_gets_4:1 BIGRAM_4_smoking:1 BIGRAM_smoking_section:1 BIGRAM_section_yes:1 BIGRAM_yes_hate:1 BIGRAM_hate_smell:1 BIGRAM_smell_smoke:1 BIGRAM_smoke_especially:1 BIGRAM_especially_dining:1 
